2457956.4478211 -0.97704 0.00280
2457956.4489206 -0.98233 0.00284
2457956.4501243 -0.98334 0.00281
2457956.4513280 -0.97875 0.00288
2457956.4525202 -0.98156 0.00287
2457956.4537239 -0.97840 0.00292
2457956.4549276 -0.97269 0.00348
2457956.4561545 -0.96869 0.00365
2457956.4574045 -0.95750 0.00414
2457956.4585966 -0.96007 0.00397
2457956.4598582 -0.96341 0.00435
2457956.4610619 -0.95821 0.00536
2457956.4622772 -0.95550 0.00467
2457956.4634694 -0.95736 0.01077
2457956.4646847 -0.95200 0.00343
2457956.4658884 -0.95697 0.00442
2457956.4670805 -0.95016 0.00804
2457956.4682842 -0.93885 0.00364
2457956.4694879 -0.93054 0.00563
2457956.4707032 -0.93716 0.00342
2457956.4719417 -0.93649 0.00351
2457956.4731338 -0.94369 0.00341
2457956.4743607 -0.92985 0.00427
2457956.4755760 -0.93453 0.00339
2457956.4768144 -0.93346 0.00339
2457956.4780297 -0.93715 0.00353
2457956.4792566 -0.93092 0.00554
2457956.4804950 -0.93329 0.00450
2457956.4817219 -0.92862 0.00358
2457956.4829372 -0.94207 0.00379
2457956.4841524 -0.93453 0.00330
2457956.4854025 -0.94141 0.00340
2457956.4866525 -0.93067 0.00335
2457956.4878678 -0.93640 0.00350
2457956.4890830 -0.94093 0.00362
2457956.4902983 -0.94538 0.00349
2457956.4915484 -0.94314 0.00355
2457956.4927868 -0.94502 0.00333
2457956.4940137 -0.95633 0.00346
2457956.4952405 -0.94898 0.00384
2457956.4964790 -0.94607 0.00393
2457956.4977058 -0.94817 0.00422
2457956.4989327 -0.95960 0.00414
2457956.5001480 -0.95354 0.00411
2457956.5013748 -0.95703 0.00389
2457956.5026364 -0.96129 0.00389
2457956.5038749 -0.96234 0.00345
2457956.5050902 -0.96291 0.00346
2457956.5062939 -0.96117 0.00351
2457956.5074860 -0.95797 0.00329
2457956.5087476 -0.96180 0.00351
2457956.5099976 -0.96806 0.00339
2457956.5112360 -0.96463 0.00372
2457956.5124629 -0.96409 0.00402
2457956.5136782 -0.97443 0.00445
2457956.5148935 -0.96155 0.00559
2457956.5161088 -0.96721 0.00645
2457956.5173472 -0.95867 0.00778
2457956.5185625 -0.97741 0.00824
2457956.5197894 -0.95099 0.00777
2457956.5210162 -0.96242 0.00893
2457956.5222431 -0.98461 0.01271
2457956.5234700 -0.96611 0.01236
2457956.5246853 -0.95426 0.00872
2457956.5259121 -0.96432 0.00872
2457956.5271274 -0.96829 0.00735
2457956.5283658 -0.97125 0.00730
2457956.5296043 -0.98259 0.00686
2457956.5308427 -0.97763 0.00655
2457956.5320580 -0.98081 0.00629
2457956.5332849 -0.98984 0.00620
2457956.5345233 -0.99292 0.00594
2457956.5357502 -0.99938 0.00564
2457956.5370002 -0.99492 0.00695
2457956.5382039 -1.00764 0.00669
2457956.5394539 -1.00066 0.00694
2457956.5406808 -1.00312 0.00691
2457956.5419192 -1.00139 0.00770
2457956.5431577 -1.02292 0.00755
2457956.5443961 -1.01040 0.00801
2457956.5455998 -1.01316 0.00779
2457956.5468035 -1.01029 0.00801
2457956.5480304 -1.02388 0.00833
2457956.5492573 -1.02062 0.00866
2457956.5505073 -1.03577 0.00906
2457956.5517457 -1.03874 0.00996
