2457070.21150 11.9407   0.0031 
2457070.21413 11.9626   0.0028 
2457070.21678 11.9702   0.0027 
2457070.21942 11.9883   0.0026 
2457070.22206 12.0054   0.0025 
2457070.22474 12.0238   0.0025 
2457070.22741 12.0392   0.0024 
2457070.23005 12.0762   0.0024 
2457070.23271 12.1059   0.0025 
2457070.23535 12.1285   0.0025 
2457070.23801 12.1841   0.0025 
2457070.24067 12.1988   0.0026 
2457070.24332 12.2466   0.0027 
2457070.24599 12.2961   0.0027 
2457070.24865 12.3429   0.0027 
2457070.25129 12.3841   0.0026 
2457070.25395 12.4230   0.0027 
2457070.25661 12.4374   0.0028 
2457070.25925 12.4513   0.0028 
2457070.26191 12.4454   0.0029 
2457070.26456 12.4364   0.0027 
2457070.26718 12.4485   0.0028 
2457070.26983 12.4412   0.0027 
2457070.27249 12.4426   0.0027 
2457070.27515 12.4352   0.0026 
2457070.27779 12.4042   0.0026 
2457070.28043 12.3672   0.0025 
2457070.28307 12.3224   0.0026 
2457070.28572 12.2724   0.0026 
2457070.28837 12.2286   0.0028 
2457070.29103 12.1789   0.0023 
2457070.29367 12.1385   0.0023 
2457070.29631 12.1089   0.0023 
2457070.29896 12.0710   0.0022 
2457070.30163 12.0469   0.0021 
2457070.30428 12.0123   0.0021 
2457070.30691 11.9868   0.0020 
2457070.30957 11.9654   0.0020 
2457070.31221 11.9445   0.0020 
2457070.31485 11.9282   0.0019 
2457070.31749 11.9143   0.0019 
2457070.32014 11.8948   0.0019 
2457070.32522 11.8633   0.0019 
2457070.32786 11.8539   0.0019 
2457070.33049 11.8321   0.0019 
2457070.33313 11.8230   0.0019 
2457070.33577 11.8170   0.0018 
2457070.33843 11.8012   0.0018 
2457070.34109 11.7959   0.0018 
2457070.34373 11.7879   0.0018 
2457070.34641 11.7820   0.0018 
2457070.34905 11.7804   0.0018 
2457070.35169 11.7660   0.0018 
2457070.35434 11.7648   0.0018 
2457070.35698 11.7654   0.0018 
2457070.35964 11.7611   0.0018 
2457070.36227 11.7634   0.0018 
2457070.36491 11.7625   0.0018 
2457070.36758 11.7670   0.0018 
2457070.37025 11.7698   0.0018 
2457070.37287 11.7757   0.0018 
2457070.37553 11.7770   0.0018 
2457070.37821 11.7850   0.0018 
2457070.38086 11.7915   0.0018 
2457070.38350 11.8027   0.0018 
