2457070.21810 11.3806   0.0029 
2457070.22075 11.3871   0.0028 
2457070.22342 11.4061   0.0027 
2457070.22608 11.4262   0.0027 
2457070.22875 11.4538   0.0027 
2457070.23139 11.4730   0.0028 
2457070.23405 11.5210   0.0026 
2457070.23669 11.5501   0.0027 
2457070.23935 11.5906   0.0026 
2457070.24204 11.6180   0.0027 
2457070.24468 11.6660   0.0028 
2457070.24734 11.7119   0.0028 
2457070.24999 11.7527   0.0029 
2457070.25262 11.7868   0.0030 
2457070.25529 11.8205   0.0030 
2457070.25794 11.8337   0.0029 
2457070.26058 11.8275   0.0030 
2457070.26327 11.8385   0.0031 
2457070.26588 11.8170   0.0031 
2457070.26851 11.8395   0.0031 
2457070.27117 11.8269   0.0031 
2457070.27383 11.8341   0.0031 
2457070.27650 11.8122   0.0031 
2457070.27912 11.7702   0.0030 
2457070.28176 11.7300   0.0029 
2457070.28441 11.6853   0.0030 
2457070.28707 11.6422   0.0029 
2457070.28971 11.5997   0.0028 
2457070.29235 11.5570   0.0027 
2457070.29501 11.5213   0.0029 
2457070.29764 11.4860   0.0029 
2457070.30031 11.4554   0.0025 
2457070.30299 11.4309   0.0026 
2457070.30562 11.3948   0.0024 
2457070.30825 11.3683   0.0024 
2457070.31092 11.3543   0.0023 
2457070.31354 11.3443   0.0023 
2457070.31619 11.3232   0.0022 
2457070.31882 11.3104   0.0022 
2457070.32390 11.2735   0.0022 
2457070.32656 11.2641   0.0022 
2457070.32919 11.2475   0.0022 
2457070.33181 11.2404   0.0021 
2457070.33447 11.2268   0.0021 
2457070.33711 11.2203   0.0021 
2457070.33976 11.2044   0.0021 
2457070.34243 11.2051   0.0021 
2457070.34508 11.1875   0.0021 
2457070.34776 11.1918   0.0021 
2457070.35038 11.1845   0.0021 
2457070.35306 11.1765   0.0020 
2457070.35569 11.1782   0.0020 
2457070.35832 11.1754   0.0021 
2457070.36097 11.1759   0.0020 
2457070.36360 11.1757   0.0020 
2457070.36625 11.1789   0.0020 
2457070.36895 11.1759   0.0020 
2457070.37158 11.1785   0.0020 
2457070.37422 11.1931   0.0020 
2457070.37689 11.1948   0.0020 
2457070.37956 11.2045   0.0020 
2457070.38220 11.2100   0.0020 
2457070.38483 11.2155   0.0020 
2457070.38746 11.2314   0.0021 
2457070.39009 11.2439   0.0020 
2457070.39273 11.2542   0.0020 
2457070.39537 11.2664   0.0020 
2457070.39801 11.2805   0.0020 
2457070.40064 11.2935   0.0021 
2457070.40327 11.3055   0.0021 
2457070.40592 11.3240   0.0021 
2457070.40854 11.3370   0.0021 
2457070.41121 11.3624   0.0021 
2457070.41387 11.3880   0.0021 
2457070.41653 11.4084   0.0022 
2457070.41919 11.4397   0.0022 
2457070.42457 11.5038   0.0022 
2457070.42722 11.5228   0.0022 
2457070.42987 11.5729   0.0023 
2457070.43253 11.6087   0.0024 
2457070.43519 11.6448   0.0024 
2457070.43787 11.6953   0.0024 
2457070.44052 11.7310   0.0025 
2457070.44316 11.7615   0.0026 
2457070.44580 11.7809   0.0027 
2457070.44846 11.7889   0.0027 
2457070.45115 11.7903   0.0027 
2457070.45380 11.7899   0.0028 
2457070.45747 11.7868   0.0028 
2457070.46013 11.7762   0.0029 
2457070.46281 11.7614   0.0027 
2457070.46548 11.7291   0.0028 
2457070.46815 11.6854   0.0027 
2457070.47082 11.6468   0.0027 
2457070.47351 11.6033   0.0027 
2457070.47621 11.5707   0.0026 
2457070.47890 11.5377   0.0026 
2457070.48153 11.5069   0.0025 
2457070.48420 11.4753   0.0025 
2457070.48684 11.4467   0.0024 
2457070.48947 11.4150   0.0024 
2457070.49215 11.3993   0.0023 
2457070.49480 11.3763   0.0023 
2457070.49745 11.3561   0.0023 
2457070.50011 11.3360   0.0022 
2457070.50276 11.3267   0.0022 
2457070.50544 11.3050   0.0022 
2457070.50812 11.2908   0.0022 
2457070.51077 11.2804   0.0022 
2457070.51344 11.2703   0.0021 
2457070.51611 11.2584   0.0021 
2457070.51877 11.2516   0.0021 
2457070.52144 11.2395   0.0021 
2457070.52410 11.2337   0.0021 
2457070.52675 11.2160   0.0021 
2457070.52940 11.2163   0.0021 
2457070.53208 11.2044   0.0021 
2457070.53475 11.2109   0.0021 
2457070.53739 11.2082   0.0021 
2457070.54004 11.1960   0.0021 
2457070.54274 11.2007   0.0021 
2457070.54542 11.1977   0.0020 
2457070.54809 11.2001   0.0021 
2457070.55074 11.2030   0.0021 
2457070.55344 11.2126   0.0021 
2457070.55613 11.2195   0.0021 
2457070.55881 11.2184   0.0020 
2457070.56149 11.2290   0.0021 
2457070.56419 11.2351   0.0020 
2457070.56687 11.2456   0.0021 
2457070.56951 11.2552   0.0021 
2457070.57213 11.2592   0.0021 
2457070.57481 11.2764   0.0021 
2457070.57748 11.2857   0.0021 
