2457070.21755 10.7534   0.0039 
2457070.22019 10.7808   0.0040 
2457070.22285 10.7845   0.0035 
2457070.22550 10.7947   0.0034 
2457070.22817 10.8327   0.0035 
2457070.23084 10.8493   0.0035 
2457070.23350 10.8857   0.0035 
2457070.23614 10.9283   0.0035 
2457070.23880 10.9531   0.0035 
2457070.24146 11.0000   0.0036 
2457070.24411 11.0313   0.0036 
2457070.24676 11.0780   0.0037 
2457070.24942 11.1115   0.0038 
2457070.25205 11.1557   0.0040 
2457070.25474 11.1779   0.0040 
2457070.25737 11.2087   0.0041 
2457070.26003 11.2019   0.0041 
2457070.26269 11.1968   0.0041 
2457070.26533 11.2109   0.0042 
2457070.26795 11.2154   0.0044 
2457070.27062 11.1936   0.0041 
2457070.27327 11.2018   0.0042 
2457070.27592 11.1924   0.0043 
2457070.27857 11.1501   0.0041 
2457070.28119 11.1096   0.0043 
2457070.28384 11.0746   0.0039 
2457070.28651 11.0356   0.0040 
2457070.28913 10.9883   0.0038 
2457070.29180 10.9535   0.0038 
2457070.29444 10.9252   0.0040 
2457070.29709 10.8880   0.0039 
2457070.29975 10.8540   0.0036 
2457070.30241 10.8273   0.0034 
2457070.30506 10.7966   0.0034 
2457070.30770 10.7839   0.0034 
2457070.31034 10.7516   0.0032 
2457070.31299 10.7395   0.0031 
2457070.31562 10.7237   0.0031 
2457070.31827 10.7095   0.0031 
2457070.32091 10.6825   0.0031 
2457070.32342 10.6818   0.0030 
2457070.32600 10.6683   0.0030 
2457070.32862 10.6552   0.0030 
2457070.33125 10.6468   0.0029 
2457070.33390 10.6260   0.0029 
2457070.33655 10.6260   0.0029 
2457070.33919 10.6176   0.0029 
2457070.34188 10.6087   0.0029 
2457070.34449 10.5993   0.0029 
2457070.34718 10.6032   0.0028 
2457070.34982 10.5893   0.0028 
2457070.35248 10.5819   0.0028 
2457070.35512 10.5920   0.0029 
2457070.35777 10.5839   0.0028 
2457070.36041 10.5940   0.0028 
2457070.36303 10.5837   0.0027 
2457070.36570 10.5838   0.0028 
2457070.36837 10.5815   0.0028 
2457070.37101 10.5895   0.0028 
2457070.37366 10.6002   0.0028 
2457070.37632 10.5960   0.0028 
2457070.37898 10.6028   0.0028 
2457070.38162 10.6054   0.0027 
2457070.38427 10.6243   0.0027 
2457070.38690 10.6209   0.0028 
2457070.38953 10.6398   0.0028 
2457070.39218 10.6510   0.0028 
2457070.39481 10.6632   0.0028 
2457070.39746 10.6766   0.0028 
2457070.40008 10.6885   0.0029 
2457070.40271 10.6978   0.0029 
2457070.40534 10.7151   0.0029 
2457070.40798 10.7298   0.0029 
2457070.41064 10.7502   0.0029 
2457070.41329 10.7810   0.0029 
2457070.41595 10.7968   0.0030 
2457070.41861 10.8212   0.0030 
2457070.42132 10.8497   0.0031 
2457070.42398 10.8755   0.0031 
2457070.42666 10.9225   0.0032 
2457070.42930 10.9496   0.0032 
2457070.43196 10.9831   0.0032 
2457070.43463 11.0241   0.0033 
2457070.43729 11.0722   0.0034 
2457070.43996 11.1099   0.0034 
2457070.44259 11.1356   0.0035 
2457070.44522 11.1483   0.0036 
2457070.44791 11.1604   0.0037 
2457070.45057 11.1759   0.0038 
2457070.45322 11.1700   0.0038 
2457070.45691 11.1665   0.0039 
2457070.45954 11.1606   0.0038 
2457070.46224 11.1471   0.0038 
2457070.46492 11.1127   0.0039 
2457070.46756 11.0656   0.0039 
2457070.47023 11.0351   0.0038 
2457070.47292 10.9932   0.0039 
2457070.47563 10.9580   0.0036 
2457070.47832 10.9351   0.0036 
2457070.48097 10.8978   0.0035 
2457070.48362 10.8687   0.0034 
2457070.48628 10.8356   0.0033 
2457070.48890 10.8103   0.0033 
2457070.49155 10.7780   0.0033 
2457070.49423 10.7693   0.0031 
2457070.49689 10.7602   0.0031 
2457070.49954 10.7315   0.0031 
2457070.50219 10.7139   0.0031 
