#phase	flux	error
-0.499862107005	0.862405882896	0.000192667253521
-0.499586321015	0.863330698368	0.000192762741652
-0.499310535025	0.864263249788	0.000192856056173
-0.499034749035	0.865202406543	0.000192948628138
-0.498758963045	0.866147827938	0.000193043706294
-0.498483177055	0.867098755952	0.000193133294529
-0.498207391065	0.868056142639	0.000193228222997
-0.497931605074	0.869020555112	0.00019332327336
-0.497655819084	0.869990784541	0.000193417053364
-0.497380033094	0.870967605678	0.00019351826087
-0.497104247104	0.871950986384	0.000193605446118
-0.496828461114	0.872940920098	0.000193692753623
-0.496552675124	0.873938282494	0.000193790266512
-0.496276889134	0.874941125197	0.000193882966396
-0.496001103144	0.875950289075	0.000193973928158
-0.495725317154	0.87696460332	0.000194068326578
-0.495449531164	0.877982994795	0.000194163867979
-0.495173745174	0.879006394793	0.000194252747253
-0.494897959184	0.880033426857	0.000194344309648
-0.494622173194	0.881063533011	0.000194431044432
-0.494346387204	0.882097244736	0.000194532295271
-0.494070601213	0.883134197941	0.000194631912442
-0.493794815223	0.884174791856	0.000194730569948
-0.493519029233	0.885219110889	0.000194830264672
-0.493243243243	0.886265533351	0.000194935558113
-0.492967457253	0.887314851744	0.000195042002301
-0.492691671263	0.888366921213	0.000195142610696
-0.492415885273	0.88942207344	0.000195247268545
-0.492140099283	0.890479240038	0.000195346574554
-0.491864313293	0.891539091062	0.000195447004608
-0.491588527303	0.892602174465	0.000195547550432
-0.491312741313	0.893667815635	0.000195649365629
-0.491036955323	0.894736941157	0.000195752452395
-0.490761169333	0.895809229917	0.000195856895557
-0.490485383343	0.896883685769	0.000195955594002
-0.490209597352	0.897960442862	0.000196056004619
-0.489933811362	0.899038979337	0.000196154157044
-0.489658025372	0.900116791363	0.000196256499133
-0.489382239382	0.901196656944	0.00019635949221
-0.489106453392	0.902276727123	0.000196459942363
-0.488830667402	0.90335692291	0.000196563688761
-0.488554881412	0.904437499887	0.000196668202765
-0.488279095422	0.905516607368	0.000196768566494
-0.488003309432	0.906594905229	0.000196865284974
-0.487727523442	0.907674056298	0.000196961427749
-0.487451737452	0.908752393827	0.000197054629097
-0.487175951462	0.909830626293	0.000197147871116
-0.486900165472	0.910907696864	0.000197241518114
-0.486624379482	0.91198304737	0.000197338700403
-0.486348593491	0.913058795774	0.000197434982739
-0.486072807501	0.914133385894	0.000197523289247
-0.485797021511	0.915206223901	0.000197612773303
-0.485521235521	0.91627718519	0.000197704833142
-0.485245449531	0.917345333785	0.000197798619102
-0.484969663541	0.918411424669	0.000197895221647
-0.484693877551	0.919475276895	0.000197992515832
-0.484418091561	0.920535407929	0.000198090961428
-0.484142305571	0.921592109872	0.000198181451613
-0.483866519581	0.922645599824	0.000198268587896
-0.483590733591	0.92369650373	0.000198356441363
-0.483314947601	0.924745103273	0.000198446438911
-0.483039161611	0.925789638428	0.000198540289855
-0.482763375621	0.926832959206	0.000198633778294
-0.48248758963	0.927874931992	0.000198722093023
-0.48221180364	0.928914724531	0.000198817599068
-0.48193601765	0.929953514239	0.000198907234539
-0.48166023166	0.93098867498	0.000198995327103
-0.48138444567	0.932020135536	0.000199088252484
-0.48110865968	0.933050633756	0.000199184795322
-0.48083287369	0.934077340406	0.000199282126168
-0.4805570877	0.935101027276	0.000199378646441
-0.48028130171	0.936119556655	0.000199473193473
-0.48000551572	0.937133944961	0.000199567850903
-0.47972972973	0.938144715156	0.000199665308498
-0.47945394374	0.939153291736	0.000199757275902
-0.47917815775	0.940157634822	0.000199843913803
-0.47890237176	0.941158161792	0.000199936554133
-0.478626585769	0.942154564675	0.000200026193248
-0.478350799779	0.943148296256	0.000200114086147
-0.478075013789	0.94413780087	0.000200206173559
-0.477799227799	0.94512298217	0.000200299941759
-0.477523441809	0.946100610495	0.000200394169096
-0.477247655819	0.94707061752	0.000200485997666
-0.476971869829	0.948033354629	0.000200576429405
-0.476696083839	0.948988826895	0.000200656377402
-0.476420297849	0.949938278363	0.000200751892836
-0.476144511859	0.950878893699	0.000200847319347
-0.475868725869	0.951811681355	0.000200946355685
-0.475592939879	0.95273823714	0.000201044897959
-0.475317153889	0.953659015515	0.000201132207338
-0.475041367899	0.954571417511	0.000201220151427
-0.474765581908	0.955475983498	0.000201301513388
-0.474489795918	0.956371108128	0.000201390343223
-0.474214009928	0.957257464361	0.000201476135041
-0.473938223938	0.958135044757	0.000201565521258
-0.473662437948	0.95900360983	0.000201650553291
-0.473386651958	0.95986364878	0.000201726689977
-0.473110865968	0.960716481344	0.000201801864802
-0.472835079978	0.961561651701	0.00020187696793
-0.472559293988	0.96239896297	0.00020195911215
-0.472283507998	0.963228954369	0.000202035651666
-0.472007722008	0.964050998764	0.0002021157218
-0.471731936018	0.964865567114	0.000202194265652
-0.471456150028	0.965671424815	0.000202275014628
-0.471180364038	0.966467948091	0.000202354008192
-0.470904578047	0.967253517206	0.000202429824561
-0.470628792057	0.968029100652	0.000202506136762
-0.470353006067	0.968794499324	0.000202577440094
-0.470077220077	0.969549556906	0.000202648917496
-0.469801434087	0.970293683727	0.000202716959064
-0.469525648097	0.971026695029	0.000202787009947
-0.469249862107	0.971747798825	0.000202855386417
-0.468974076117	0.972459112181	0.000202918618267
-0.468698290127	0.973158728727	0.000202980093677
-0.468422504137	0.973846075022	0.000203038056206
-0.468146718147	0.974521052727	0.000203097189696
-0.467870932157	0.975183233064	0.000203153981265
-0.467595146167	0.975832502985	0.000203210896309
-0.467319360177	0.976469683898	0.00020326374269
-0.467043574186	0.977093202681	0.000203318527177
-0.466767788196	0.977703835601	0.000203373395566
