#HJD   flux    flux_err
57956.4478211    0.861097187402    0.00222354540607
57956.4489206    0.865302922864    0.00226636740015
57956.4501243    0.866108240555    0.00224448285267
57956.451328    0.86245445664    0.00229076461384
57956.4525202    0.864689470866    0.00228871583242
57956.4537239    0.862176478978    0.00232187498727
57956.4549276    0.857654105146    0.00275336178627
57956.4561545    0.854500203923    0.00287747076356
57956.4574045    0.845738635449    0.00323102601607
57956.4585966    0.8477429186    0.0031054504165
57956.4598582    0.850354806231    0.00341377896592
57956.4610619    0.84629187371    0.00418825467019
57956.4622772    0.844182161316    0.0036388408883
57956.4634694    0.84562958891    0.00842999534054
57956.4646847    0.841465221094    0.00266251554071
57956.4658884    0.845325890541    0.0034483109399
57956.4670805    0.840040395441    0.00624368366868
57956.4682842    0.831335202139    0.00279178158184
57956.4694879    0.824996622743    0.00428906602908
57956.4707032    0.830042195963    0.00261870234026
57956.4719417    0.829530140905    0.00268606894828
57956.4731338    0.835049404587    0.00262678427777
57956.4743607    0.824472492827    0.00324888250617
57956.475576    0.828034001777    0.0025894153928
57956.4768144    0.827218370923    0.00258686476434
57956.4780297    0.830034551027    0.00270304171093
57956.4792566    0.825285416267    0.00422180419007
57956.480495    0.827088858696    0.00343511021071
57956.4817219    0.823539    0.00271993843557
57956.4829372    0.833804377198    0.00291566270154
57956.4841524    0.828034001777    0.0025205653269
57956.4854025    0.833297676161    0.00261357486732
57956.4866525    0.825095409153    0.00254973373486
57956.4878678    0.829461381461    0.00267818197712
57956.489083    0.832929359732    0.0027817405568
57956.4902983    0.83635021079    0.00269269686466
57956.4915484    0.834626501803    0.00273342018554
57956.4927868    0.836072946235    0.0025682083547
57956.4940137    0.844827750065    0.00269657269916
57956.4952405    0.83912791854    0.00297305745037
57956.496479    0.836881891555    0.0030347200792
57956.4977058    0.838502131046    0.00326540140334
57956.4989327    0.847376021979    0.003237281422
57956.500148    0.842659595829    0.00319589080269
57956.5013748    0.845372606267    0.00303425226175
57956.5026364    0.848696030088    0.00304618085533
57956.5038749    0.849517188917    0.00270369145535
57956.5050902    0.849963293527    0.00271296463976
57956.5062939    0.84860223392    0.00274782554313
57956.507486    0.846104823115    0.00256775695863
57956.5087476    0.849094779477    0.00274942043554
57956.5099976    0.85400452277    0.00267063001282
57956.511236    0.851310854246    0.00292180348691
57956.5124629    0.850887552934    0.00315629910289
57956.5136782    0.859029682906    0.00352804540449
57956.5148935    0.848899290686    0.00438189673145
57956.5161088    0.853336202262    0.00508447602678
57956.5173472    0.846650502942    0.00608858504845
57956.5185625    0.861390684341    0.0065622399237
57956.5197894    0.840682816773    0.00603787053099
57956.5210162    0.849579785963    0.00701646775572
57956.5222431    0.867121931569    0.0102104734663
57956.52347    0.852472093211    0.00975997413133
57956.5246853    0.843218586236    0.00679950821613
57956.5259121    0.851067822199    0.00686280253304
57956.5271274    0.854185452396    0.00580211081385
57956.5283658    0.856517361921    0.00577823936821
57956.5296043    0.865510160772    0.00548585960434
57956.5308427    0.861565243457    0.00521333711814
57956.532058    0.864092370795    0.00502047840676
57956.5332849    0.871308941196    0.0049897654355
57956.5345233    0.873784166368    0.00479352324075
57956.5357502    0.878998574366    0.00457795419505
57956.5370002    0.875395219664    0.00562154118515
57956.5382039    0.885711269838    0.00547435119938
57956.5394539    0.880035457585    0.00564318204494
57956.5406808    0.882031652986    0.0056314551682
57956.5419192    0.88062735265    0.00626757422722
57956.5431577    0.898264364071    0.00626812541451
57956.5443961    0.88796565984    0.00657517553788
57956.5455998    0.890225787913    0.00641020974306
57956.5468035    0.887875701271    0.00657450941598
57956.5480304    0.899058954076    0.0069243006629
57956.5492573    0.896363514417    0.00717812296857
57956.5505073    0.908958741643    0.00761660280654
57956.5517457    0.911448575886    0.00839964075251
