throughput,wavelength
6.672E-01,638.0
6.671E-01,639.0
6.679E-01,640.0
6.691E-01,641.0
6.703E-01,642.0
6.714E-01,643.0
6.727E-01,644.0
6.730E-01,645.0
6.740E-01,646.0
6.735E-01,647.0
6.727E-01,648.0
6.711E-01,649.0
6.701E-01,650.0
6.683E-01,651.0
6.674E-01,652.0
6.656E-01,653.0
6.638E-01,654.0
6.622E-01,655.0
6.608E-01,656.0
6.588E-01,657.0
6.584E-01,658.0
6.579E-01,659.0
6.568E-01,660.0
6.566E-01,661.0
6.560E-01,662.0
6.558E-01,663.0
6.554E-01,664.0
6.556E-01,665.0
6.549E-01,666.0
6.559E-01,667.0
6.543E-01,668.0
6.539E-01,669.0
6.531E-01,670.0
6.529E-01,671.0
6.519E-01,672.0
6.511E-01,673.0
6.503E-01,674.0
6.491E-01,675.0
6.468E-01,676.0
6.465E-01,677.0
6.450E-01,678.0
6.444E-01,679.0
6.420E-01,680.0
6.407E-01,681.0
6.400E-01,682.0
6.373E-01,683.0
6.355E-01,684.0
6.335E-01,685.0
6.318E-01,686.0
6.296E-01,687.0
6.276E-01,688.0
6.254E-01,689.0
6.242E-01,690.0
6.229E-01,691.0
6.210E-01,692.0
6.197E-01,693.0
6.185E-01,694.0
6.172E-01,695.0
6.172E-01,696.0
6.163E-01,697.0
6.157E-01,698.0
6.165E-01,699.0
6.159E-01,700.0
6.150E-01,701.0
6.135E-01,702.0
6.129E-01,703.0
6.110E-01,704.0
6.104E-01,705.0
6.093E-01,706.0
6.070E-01,707.0
6.065E-01,708.0
6.039E-01,709.0
6.025E-01,710.0
6.002E-01,711.0
5.968E-01,712.0
5.959E-01,713.0
5.933E-01,714.0
5.907E-01,715.0
5.889E-01,716.0
5.860E-01,717.0
5.840E-01,718.0
5.820E-01,719.0
5.814E-01,720.0
5.784E-01,721.0
5.771E-01,722.0
5.762E-01,723.0
5.748E-01,724.0
5.740E-01,725.0
5.725E-01,726.0
5.708E-01,727.0
5.706E-01,728.0
5.689E-01,729.0
5.670E-01,730.0
5.666E-01,731.0
5.645E-01,732.0
5.638E-01,733.0
5.642E-01,734.0
5.613E-01,735.0
5.603E-01,736.0
5.595E-01,737.0
5.592E-01,738.0
5.582E-01,739.0
5.562E-01,740.0
5.549E-01,741.0
5.532E-01,742.0
5.523E-01,743.0
5.502E-01,744.0
5.486E-01,745.0
5.471E-01,746.0
5.460E-01,747.0
5.439E-01,748.0
5.428E-01,749.0
5.412E-01,750.0
5.383E-01,751.0
5.370E-01,752.0
5.359E-01,753.0
5.334E-01,754.0
5.321E-01,755.0
5.311E-01,756.0
5.284E-01,757.0
5.266E-01,758.0
5.247E-01,759.0
5.228E-01,760.0
5.207E-01,761.0
5.202E-01,762.0
5.172E-01,763.0
5.150E-01,764.0
5.134E-01,765.0
5.113E-01,766.0
5.087E-01,767.0
5.053E-01,768.0
5.044E-01,769.0
5.022E-01,770.0
5.003E-01,771.0
4.982E-01,772.0
4.957E-01,773.0
4.934E-01,774.0
4.905E-01,775.0
4.892E-01,776.0
4.885E-01,777.0
4.870E-01,778.0
4.855E-01,779.0
4.841E-01,780.0
4.836E-01,781.0
4.821E-01,782.0
4.801E-01,783.0
4.802E-01,784.0
4.793E-01,785.0
4.783E-01,786.0
4.772E-01,787.0
4.758E-01,788.0
4.763E-01,789.0
4.761E-01,790.0
4.743E-01,791.0
4.727E-01,792.0
4.715E-01,793.0
4.707E-01,794.0
4.688E-01,795.0
4.674E-01,796.0
4.652E-01,797.0
4.619E-01,798.0
4.690E-01,799.0
4.681E-01,800.0
4.646E-01,801.0
4.612E-01,802.0
4.588E-01,803.0
4.558E-01,804.0
4.524E-01,805.0
4.494E-01,806.0
4.471E-01,807.0
4.446E-01,808.0
4.423E-01,809.0
4.395E-01,810.0
4.377E-01,811.0
4.357E-01,812.0
4.334E-01,813.0
4.308E-01,814.0
4.288E-01,815.0
4.273E-01,816.0
4.250E-01,817.0
4.219E-01,818.0
4.195E-01,819.0
4.156E-01,820.0
4.133E-01,821.0
4.101E-01,822.0
4.069E-01,823.0
4.028E-01,824.0
4.003E-01,825.0
3.979E-01,826.0
3.943E-01,827.0
3.911E-01,828.0
3.872E-01,829.0
3.830E-01,830.0
3.795E-01,831.0
3.762E-01,832.0
3.725E-01,833.0
3.684E-01,834.0
3.646E-01,835.0
3.611E-01,836.0
3.587E-01,837.0
3.561E-01,838.0
3.539E-01,839.0
