flux,wave
0.0,90.9
0.0,93.5
0.0,96.1
0.0,97.7
0.0,99.6
0.0,102.0
0.0,103.8
0.0,105.6
0.0,107.7
0.0,110.4
0.0,114.0
0.0,117.8
0.0,121.3
0.0,124.8
0.0,127.1
0.0,128.4
0.0,130.5
0.0,132.4
0.0,133.9
0.0,136.6
0.0,139.8
0.0,143.3
0.0,147.2
0.0,151.0
0.0,155.2
0.0,158.8
0.0,162.0
0.0,166.0
0.0,170.3
0.0,173.4
0.0,176.8
0.0,180.2
0.0,181.7
0.0,186.1
0.0,191.0
0.0,193.9
0.0,198.4
0.0,201.8
0.0,205.0
0.0,210.5
0.0,216.2
0.0,219.8
0.0,223.0
0.0,226.8
0.0,230.0
0.0,234.0
0.0,240.0
0.0,246.5
0.0,252.4
0.0,256.8
0.0,260.0
0.0,264.0
0.0,268.5
0.0,273.5
0.0,278.5
0.0,284.0
0.0,290.0
0.0,296.0
0.0,301.0
0.0,308.0
0.0,318.0
0.0,328.0
0.0,338.0
0.0,348.0
0.0,357.0
0.0,366.0
0.0,375.0
0.0,385.0
0.0,395.0
0.0,405.0
0.0,414.0
0.0,422.0
0.0,430.0
0.0,441.0
0.0,451.0
0.0,460.0
0.0,470.0
0.0,480.0
0.0,490.0
0.0,500.0
0.0,506.0
0.0,512.0
0.0,520.0
0.0,530.0
1.3369999615193e-24,540.0
5.003000361826538e-24,550.0
1.770999931670168e-23,560.0
5.983999870038308e-23,570.0
1.9130000664542724e-22,580.0
5.986000650392359e-22,590.0
1.780999977598301e-21,600.0
5.09999994746061e-21,610.0
1.408000048965958e-20,620.0
3.75700014945862e-20,630.0
9.706001064894072e-20,640.0
2.429999842739851e-19,650.0
4.956000309945572e-19,658.0
9.100999303875937e-19,665.0
2.1200000433143057e-18,675.0
4.812000021543311e-18,685.0
1.06399999786185e-17,695.0
2.292000010412883e-17,705.0
5.2130001046865065e-17,716.0
1.0730000668763577e-16,726.0
2.0169999128823286e-16,735.0
3.991000348760271e-16,745.0
7.743000083853895e-16,755.0
1.474999933335842e-15,765.0
2.757000071245095e-15,775.0
5.069999962541245e-15,785.0
9.110000366277867e-15,795.0
1.6260001418752345e-14,805.0
2.8530001715370944e-14,815.0
4.924999929181039e-14,825.0
8.380000016923354e-14,835.0
1.406000057915128e-13,845.0
2.3289998735931345e-13,855.0
3.80699998871818e-13,865.0
6.14100005614867e-13,875.0
9.809000650897814e-13,885.0
1.5469999998428393e-12,895.0
2.4129999435251314e-12,905.0
1.0720000314800656e-08,915.0
4.2440001164058455e-08,925.0
5.806999988981494e-08,935.0
9.044999907721403e-08,945.0
1.4190001034362616e-07,955.0
2.2150000914131627e-07,965.0
2.9899998349969016e-07,975.0
4.4750005029855717e-07,985.0
6.318999757111259e-07,995.0
9.54800113224649e-07,1005.0
1.3310000032056115e-06,1015.0
1.6950000902497354e-06,1025.0
2.733000009550696e-06,1035.0
3.8920001178895486e-06,1045.0
4.947000254398063e-06,1055.0
7.070999844443938e-06,1065.0
9.647000710355258e-06,1075.0
1.3130000742856329e-05,1085.0
1.6559999331018935e-05,1095.0
2.2709999674217065e-05,1105.0
3.214000098600665e-05,1115.0
4.413000229579398e-05,1125.0
6.160999864022463e-05,1135.0
8.129001087169686e-05,1145.0
0.000104600007468922,1155.0
0.00013730000530961313,1165.0
0.00017919999787894183,1175.0
0.0002217000000026946,1185.0
0.000254799986802347,1195.0
0.00029520001363892513,1205.0
0.00022979999338238269,1215.0
0.0004619999935181343,1225.0
0.0006732000379599541,1235.0
0.0008624000272883053,1245.0
0.0010519999850043759,1255.0
0.0012940000207176566,1265.0
0.0016020000473935773,1275.0
0.0019219999953322432,1285.0
0.0023849998332342937,1295.0
0.002866999813640513,1305.0
0.003562000038900978,1315.0
0.0042359999458457896,1325.0
