flux,wave
0.0,90.9
0.0,93.5
0.0,96.1
0.0,97.7
0.0,99.6
0.0,102.0
0.0,103.8
0.0,105.6
0.0,107.7
0.0,110.4
0.0,114.0
0.0,117.8
0.0,121.3
0.0,124.8
0.0,127.1
0.0,128.4
0.0,130.5
0.0,132.4
0.0,133.9
0.0,136.6
0.0,139.8
0.0,143.3
0.0,147.2
0.0,151.0
0.0,155.2
0.0,158.8
0.0,162.0
0.0,166.0
0.0,170.3
0.0,173.4
0.0,176.8
0.0,180.2
0.0,181.7
0.0,186.1
0.0,191.0
0.0,193.9
0.0,198.4
0.0,201.8
0.0,205.0
0.0,210.5
0.0,216.2
0.0,219.8
0.0,223.0
0.0,226.8
0.0,230.0
0.0,234.0
0.0,240.0
0.0,246.5
0.0,252.4
0.0,256.8
0.0,260.0
0.0,264.0
0.0,268.5
0.0,273.5
0.0,278.5
0.0,284.0
0.0,290.0
0.0,296.0
0.0,301.0
0.0,308.0
0.0,318.0
0.0,328.0
0.0,338.0
0.0,348.0
0.0,357.0
0.0,366.0
0.0,375.0
0.0,385.0
0.0,395.0
0.0,405.0
0.0,414.0
0.0,422.0
0.0,430.0
0.0,441.0
0.0,451.0
0.0,460.0
0.0,470.0
0.0,480.0
0.0,490.0
0.0,500.0
0.0,506.0
0.0,512.0
0.0,520.0
0.0,530.0
0.0,540.0
0.0,550.0
0.0,560.0
0.0,570.0
0.0,580.0
0.0,590.0
0.0,600.0
0.0,610.0
3.6299998761273262e-25,620.0
1.1449999043066358e-24,630.0
3.476999822808908e-24,640.0
1.0190000426087938e-23,650.0
2.3470000394357288e-23,658.0
4.78599999216121e-23,665.0
1.29000004977471e-22,675.0
3.370999939862731e-22,685.0
8.553000246367815e-22,695.0
2.106000190613686e-21,705.0
5.519999723894288e-21,716.0
1.2879999574254152e-20,726.0
2.7049999715819387e-20,735.0
6.029999954205212e-20,745.0
1.314000082473528e-19,755.0
2.803000034188024e-19,765.0
5.851999836904635e-19,775.0
1.1979999461910326e-18,785.0
2.3920000512388786e-18,795.0
4.7269999807480256e-18,805.0
9.162999706144852e-18,815.0
1.7430002178373927e-17,825.0
3.2610003424376844e-17,835.0
6.004999750493271e-17,845.0
1.08900005704224e-16,855.0
1.94400012272323e-16,865.0
3.4180001424280037e-16,875.0
5.939000557389735e-16,885.0
1.0169999314685399e-15,895.0
1.7200000286180809e-15,905.0
1.125999966502471e-11,915.0
4.210000044553504e-11,925.0
5.5289998629436e-11,935.0
8.25699981135574e-11,945.0
1.3130000022783452e-10,955.0
2.193000033377404e-10,965.0
2.871000162748317e-10,975.0
4.6459998367997925e-10,985.0
6.821000167450119e-10,995.0
9.839999937909792e-10,1005.0
1.4040000388656987e-09,1015.0
1.8969999066210038e-09,1025.0
3.3910000990211686e-09,1035.0
5.030000391062262e-09,1045.0
6.080000448913029e-09,1055.0
1.021999982147314e-08,1065.0
1.4260000790737379e-08,1075.0
2.0379998922731217e-08,1085.0
2.6760000089519957e-08,1095.0
3.66400005858655e-08,1105.0
5.0459999240290455e-08,1115.0
7.506000011663687e-08,1125.0
1.129999950194937e-07,1135.0
1.556999956941255e-07,1145.0
2.1179998800675492e-07,1155.0
2.83799997409703e-07,1165.0
3.9869997795952e-07,1175.0
5.289000024733294e-07,1185.0
6.805999989646174e-07,1195.0
8.379000293896546e-07,1205.0
7.460000154026937e-07,1215.0
1.4819999976613494e-06,1225.0
2.1389997683790695e-06,1235.0
2.8580001369834417e-06,1245.0
3.738000225830926e-06,1255.0
4.9060000780744895e-06,1265.0
6.394999908657276e-06,1275.0
8.153000227793426e-06,1285.0
1.0269999787362412e-05,1295.0
1.3150001261232183e-05,1305.0
1.7509998543101376e-05,1315.0
2.227000117205667e-05,1325.0
2.747000069188176e-05,1335.0
