flux,wave
0.0,90.9
0.0,93.5
0.0,96.1
0.0,97.7
0.0,99.6
0.0,102.0
0.0,103.8
0.0,105.6
0.0,107.7
0.0,110.4
0.0,114.0
0.0,117.8
0.0,121.3
0.0,124.8
0.0,127.1
0.0,128.4
0.0,130.5
0.0,132.4
0.0,133.9
0.0,136.6
0.0,139.8
0.0,143.3
0.0,147.2
0.0,151.0
0.0,155.2
0.0,158.8
0.0,162.0
0.0,166.0
0.0,170.3
0.0,173.4
0.0,176.8
0.0,180.2
0.0,181.7
0.0,186.1
0.0,191.0
0.0,193.9
0.0,198.4
0.0,201.8
0.0,205.0
0.0,210.5
0.0,216.2
0.0,219.8
0.0,223.0
0.0,226.8
0.0,230.0
0.0,234.0
0.0,240.0
0.0,246.5
0.0,252.4
0.0,256.8
0.0,260.0
0.0,264.0
0.0,268.5
0.0,273.5
0.0,278.5
0.0,284.0
0.0,290.0
0.0,296.0
0.0,301.0
0.0,308.0
0.0,318.0
0.0,328.0
0.0,338.0
0.0,348.0
0.0,357.0
0.0,366.0
0.0,375.0
0.0,385.0
0.0,395.0
0.0,405.0
0.0,414.0
0.0,422.0
0.0,430.0
0.0,441.0
0.0,451.0
0.0,460.0
0.0,470.0
0.0,480.0
0.0,490.0
0.0,500.0
0.0,506.0
0.0,512.0
0.0,520.0
0.0,530.0
0.0,540.0
0.0,550.0
0.0,560.0
0.0,570.0
4.0129999823485175e-25,580.0
1.3930000235373744e-24,590.0
4.579999766792593e-24,600.0
1.445000085622225e-23,610.0
4.38299990067222e-23,620.0
1.2799999987185982e-22,630.0
3.6110001264006758e-22,640.0
9.84699995386012e-22,650.0
2.1460000247508085e-21,658.0
4.171000356509146e-21,665.0
1.0520000011746697e-20,675.0
2.577000026599594e-20,685.0
6.140000194188161e-20,695.0
1.4220000044425231e-19,705.0
3.492999865599458e-19,716.0
7.696000494682105e-19,726.0
1.5370000806927309e-18,735.0
3.2440001853255292e-18,745.0
6.703000606919768e-18,755.0
1.357999958189829e-17,765.0
2.695000079937673e-17,775.0
5.253000271854249e-17,785.0
9.993000056807438e-17,795.0
1.885999956436309e-16,805.0
3.4920000061227566e-16,815.0
6.354000539594069e-16,825.0
1.1380000404042566e-15,835.0
2.008999943248233e-15,845.0
3.4940000969408924e-15,855.0
5.992999955399815e-15,865.0
1.0129999868524196e-14,875.0
1.6939999730095067e-14,885.0
2.7950001169677547e-14,895.0
4.5540003552604593e-14,905.0
2.73200007318148e-10,915.0
1.0430000339508637e-09,925.0
1.3749999350046774e-09,935.0
2.1370000551153502e-09,945.0
3.3270000564011837e-09,955.0
5.3600000904594325e-09,965.0
7.190000128502375e-09,975.0
1.0960000310478931e-08,985.0
1.557999853259353e-08,995.0
2.315999888283828e-08,1005.0
3.270999981772269e-08,1015.0
4.351000217900119e-08,1025.0
7.255000094277344e-08,1035.0
1.0379999323829586e-07,1045.0
1.3170000440305638e-07,1055.0
1.9540000320798336e-07,1065.0
2.7000000556932586e-07,1075.0
3.795000172496195e-07,1085.0
4.889000406115365e-07,1095.0
6.384000170500746e-07,1105.0
8.943000143970086e-07,1115.0
1.2669999987984892e-06,1125.0
1.7930001005888543e-06,1135.0
2.4160000423494762e-06,1145.0
3.249000135146416e-06,1155.0
4.3020000293131935e-06,1165.0
5.760000188435907e-06,1175.0
7.46600033057041e-06,1185.0
9.246999402760018e-06,1195.0
1.128000039048562e-05,1205.0
9.639999877139683e-06,1215.0
1.9330001012758046e-05,1225.0
2.7129997746540343e-05,1235.0
3.496000213341799e-05,1245.0
4.475999752273023e-05,1255.0
5.74300014240834e-05,1265.0
7.345000227798078e-05,1275.0
9.210000472771891e-05,1285.0
0.00011400000536176338,1295.0
0.00014289999783970294,1305.0
0.00018700000365381674,1315.0
0.00023329999948075775,1325.0
