flux,wave
0.0,90.9
0.0,93.5
0.0,96.1
0.0,97.7
0.0,99.6
0.0,102.0
0.0,103.8
0.0,105.6
0.0,107.7
0.0,110.4
0.0,114.0
0.0,117.8
0.0,121.3
0.0,124.8
0.0,127.1
0.0,128.4
0.0,130.5
0.0,132.4
0.0,133.9
0.0,136.6
0.0,139.8
0.0,143.3
0.0,147.2
0.0,151.0
0.0,155.2
0.0,158.8
0.0,162.0
0.0,166.0
0.0,170.3
0.0,173.4
0.0,176.8
0.0,180.2
0.0,181.7
0.0,186.1
0.0,191.0
0.0,193.9
0.0,198.4
0.0,201.8
0.0,205.0
0.0,210.5
0.0,216.2
0.0,219.8
0.0,223.0
0.0,226.8
0.0,230.0
0.0,234.0
0.0,240.0
0.0,246.5
0.0,252.4
0.0,256.8
0.0,260.0
0.0,264.0
0.0,268.5
0.0,273.5
0.0,278.5
0.0,284.0
0.0,290.0
0.0,296.0
0.0,301.0
0.0,308.0
0.0,318.0
0.0,328.0
0.0,338.0
0.0,348.0
0.0,357.0
0.0,366.0
0.0,375.0
0.0,385.0
0.0,395.0
0.0,405.0
0.0,414.0
0.0,422.0
0.0,430.0
0.0,441.0
0.0,451.0
0.0,460.0
0.0,470.0
0.0,480.0
0.0,490.0
0.0,500.0
9.236000279834401e-25,506.0
2.4530000097366174e-24,512.0
7.479999901128595e-24,520.0
2.885000014517539e-23,530.0
1.0399999904122295e-22,540.0
3.6090001824802343e-22,550.0
1.1880000103486512e-21,560.0
3.739999913106177e-21,570.0
1.116999949163222e-20,580.0
3.273999810337042e-20,590.0
9.140000186926808e-20,600.0
2.462999939269324e-19,610.0
6.408000030238452e-19,620.0
1.6139999146973269e-18,630.0
3.944000106398948e-18,640.0
9.355000028385053e-18,650.0
1.8290000094275106e-17,658.0
3.240999803375598e-17,665.0
7.18200018264096e-17,675.0
1.5530000170380355e-16,685.0
3.2759998865267576e-16,695.0
6.739000218513393e-16,705.0
1.4600000314298822e-15,716.0
2.8770000499915734e-15,726.0
5.2089999005879105e-15,735.0
9.890999741639019e-15,745.0
1.8440001031315886e-14,755.0
3.378999967625001e-14,765.0
6.081000212381401e-14,775.0
1.0779999988628015e-13,785.0
1.8670000027735047e-13,795.0
3.2190000155912087e-13,805.0
5.45900033136612e-13,815.0
9.112999715627761e-13,825.0
1.5010000585808589e-12,835.0
2.4400001053655024e-12,845.0
3.918000212716608e-12,855.0
6.21300045141528e-12,865.0
9.725000906384924e-12,875.0
1.5090001559934503e-11,885.0
2.314999898919002e-11,895.0
3.511000257637319e-11,905.0
6.178999977310914e-08,915.0
2.3120000558042318e-07,925.0
3.359000038680829e-07,935.0
5.114000288943532e-07,945.0
7.968000269889923e-07,955.0
1.1959999772972407e-06,965.0
1.7020001081030131e-06,975.0
2.4630000706937166e-06,985.0
3.511999973761063e-06,995.0
5.232000044667987e-06,1005.0
7.341000091086316e-06,1015.0
9.942000236188114e-06,1025.0
1.4610000609361984e-05,1035.0
2.0479999934109433e-05,1045.0
2.7579999355812474e-05,1055.0
3.7999996719048225e-05,1065.0
5.2049999074565505e-05,1075.0
7.070000047910803e-05,1085.0
9.303000325848099e-05,1095.0
0.00015660000676588487,1105.0
0.0002588000039041067,1115.0
0.00035009998556897136,1125.0
0.0004898000100951021,1135.0
0.0006403000148280587,1145.0
0.0007932999987260727,1155.0
0.0010620000704030816,1165.0
0.0013569999124639868,1175.0
0.0016439999221679886,1185.0
0.0017460001059381547,1195.0
0.002081000049773604,1205.0
0.0014929999786059917,1215.0
0.0031439999019760335,1225.0
0.004624000245137562,1235.0
0.005905000228350268,1245.0
0.0071340001596309115,1255.0
0.008535999430666743,1265.0
0.010470000175299041,1275.0
0.012460000329817589,1285.0
0.015510000987026682,1295.0
0.017969999168496596,1305.0
