flux,wave
0.0,90.9
0.0,93.5
0.0,96.1
0.0,97.7
0.0,99.6
0.0,102.0
0.0,103.8
0.0,105.6
0.0,107.7
0.0,110.4
0.0,114.0
0.0,117.8
0.0,121.3
0.0,124.8
0.0,127.1
0.0,128.4
0.0,130.5
0.0,132.4
0.0,133.9
0.0,136.6
0.0,139.8
0.0,143.3
0.0,147.2
0.0,151.0
0.0,155.2
0.0,158.8
0.0,162.0
0.0,166.0
0.0,170.3
0.0,173.4
0.0,176.8
0.0,180.2
0.0,181.7
0.0,186.1
0.0,191.0
0.0,193.9
0.0,198.4
0.0,201.8
0.0,205.0
0.0,210.5
0.0,216.2
0.0,219.8
0.0,223.0
0.0,226.8
0.0,230.0
0.0,234.0
0.0,240.0
0.0,246.5
0.0,252.4
0.0,256.8
3.497999970513122e-23,260.0
1.26099990624947e-22,264.0
4.4679999333157465e-22,268.5
1.7020000662859953e-21,273.5
6.173000073077395e-21,278.5
2.4190000700185756e-20,284.0
1.0159999656746015e-19,290.0
4.0329999209064127e-19,296.0
1.2270000687652881e-18,301.0
5.50499969835635e-18,308.0
4.22200003536463e-17,318.0
2.886999971930332e-16,328.0
1.7730000221996527e-15,338.0
9.882000080069305e-15,348.0
4.293999806092897e-14,357.0
1.741000231024361e-13,366.0
6.611999693877916e-13,375.0
2.718999959812645e-12,385.0
1.0409999605166842e-11,395.0
3.74200017642817e-11,405.0
1.1239999929242399e-10,414.0
2.8720004072161657e-10,422.0
7.084000063326929e-10,430.0
2.333000178317342e-09,441.0
6.546000664224352e-09,451.0
1.5950000958599853e-08,460.0
4.121000412276675e-08,470.0
1.0219999849934504e-07,480.0
2.4429999796355247e-07,490.0
5.642000119452759e-07,500.0
1.0930000099170748e-06,506.0
1.867999982358622e-06,512.0
3.401000134721984e-06,520.0
7.036999953185118e-06,530.0
1.4070000431248567e-05,540.0
2.765000136575416e-05,550.0
5.283000416353753e-05,560.0
9.867000617874914e-05,570.0
0.0001796000074152057,580.0
0.00032260001139290066,590.0
0.0005657999992152001,600.0
0.0009734999903673509,610.0
0.0016449999765243391,620.0
0.0027359999991474915,630.0
0.004473000071211699,640.0
0.007204000153764627,650.0
0.010420000276680183,658.0
0.01429000084837317,665.0
0.022190000570573354,675.0
0.03400000032463295,685.0
0.051430003511992006,695.0
0.07673999303310793,705.0
0.11770000213633068,716.0
0.17149999496709614,726.0
0.23860001533125774,735.0
0.34099999059956393,745.0
0.48210000704379424,755.0
0.675100085140884,765.0
0.9365000552790371,775.0
1.2880000080866012,785.0
1.7560000617412055,795.0
2.3749999937463797,805.0
3.1860001887541576,815.0
4.239999837250218,825.0
5.600000078551895,835.0
7.3500000213668075,845.0
9.576000079914206,855.0
12.390000851769747,865.0
15.930000772623199,875.0
20.359999446402888,885.0
25.86000222866568,895.0
32.650002227162666,905.0
410.5999847430269,915.0
3001.999992637411,925.0
5081.99992483828,935.0
8521.000142888679,945.0
12350.000229267718,955.0
16190.000542345291,965.0
13560.000396032376,975.0
22260.000893135548,985.0
24190.000989982906,995.0
29889.99967632339,1005.0
33559.99962458371,1015.0
24400.00080804667,1025.0
42400.001645168806,1035.0
50920.00196214993,1045.0
57980.00119599228,1055.0
63059.99933900465,1065.0
73700.00404226675,1075.0
82840.00477960739,1085.0
89029.99930050629,1095.0
139000.0100656861,1105.0
2923000.063938614,1115.0
5202000.067334743,1125.0
7870000.367113888,1135.0
6796000.298569624,1145.0
8018000.171476221,1155.0
7571000.126278252,1165.0
4523000.132444845,1175.0
2334999.973274614,1185.0
346100.00192423747,1195.0
310000.03177137306,1205.0
79050.00631047439,1215.0
318100.02628859505,1225.0
693900.042891229,1235.0
2300999.9478547396,1245.0
18070000.265797418,1255.0
25250000.47949318,1265.0
56709996.681144185,1275.0
