flux,wave
0.0,90.9
0.0,93.5
0.0,96.1
0.0,97.7
0.0,99.6
0.0,102.0
0.0,103.8
0.0,105.6
0.0,107.7
0.0,110.4
0.0,114.0
0.0,117.8
0.0,121.3
0.0,124.8
0.0,127.1
0.0,128.4
0.0,130.5
0.0,132.4
0.0,133.9
0.0,136.6
0.0,139.8
0.0,143.3
0.0,147.2
0.0,151.0
0.0,155.2
0.0,158.8
0.0,162.0
0.0,166.0
0.0,170.3
0.0,173.4
0.0,176.8
0.0,180.2
0.0,181.7
0.0,186.1
0.0,191.0
0.0,193.9
0.0,198.4
0.0,201.8
0.0,205.0
0.0,210.5
0.0,216.2
0.0,219.8
0.0,223.0
0.0,226.8
0.0,230.0
0.0,234.0
0.0,240.0
0.0,246.5
0.0,252.4
0.0,256.8
0.0,260.0
0.0,264.0
0.0,268.5
0.0,273.5
0.0,278.5
0.0,284.0
0.0,290.0
0.0,296.0
0.0,301.0
0.0,308.0
0.0,318.0
0.0,328.0
0.0,338.0
0.0,348.0
0.0,357.0
0.0,366.0
0.0,375.0
0.0,385.0
0.0,395.0
0.0,405.0
0.0,414.0
0.0,422.0
0.0,430.0
0.0,441.0
0.0,451.0
0.0,460.0
0.0,470.0
0.0,480.0
0.0,490.0
0.0,500.0
0.0,506.0
0.0,512.0
0.0,520.0
0.0,530.0
0.0,540.0
0.0,550.0
0.0,560.0
0.0,570.0
0.0,580.0
5.947000219393273e-25,590.0
1.995999843307785e-24,600.0
6.421999920984146e-24,610.0
1.9850000298731516e-23,620.0
5.906000594702055e-23,630.0
1.6959999910375058e-22,640.0
4.704000265890348e-22,650.0
1.0390000199877575e-21,658.0
2.0430000422341852e-21,665.0
5.234000305245143e-21,675.0
1.3030000644236916e-20,685.0
3.1510000798098217e-20,695.0
7.404999829981317e-20,705.0
1.8479998787712011e-19,716.0
4.126999852992995e-19,726.0
8.340000700857668e-19,735.0
1.7839999935208557e-18,745.0
3.734000051042161e-18,755.0
7.657000508155343e-18,765.0
1.5380001066030882e-17,775.0
3.033999868558738e-17,785.0
5.838999949446889e-17,795.0
1.1139999583222858e-16,805.0
2.0859999458885073e-16,815.0
3.836000040110749e-16,825.0
6.942999581956967e-16,835.0
1.2379999366335061e-15,845.0
2.174000191723834e-15,855.0
3.764000400414165e-15,865.0
6.4200003445555015e-15,875.0
1.0830000511565739e-14,885.0
1.802999854922459e-14,895.0
2.9620000412975945e-14,905.0
1.9870000367799738e-10,915.0
8.2350004848434e-10,925.0
1.1720000268256036e-09,935.0
1.5540001651091306e-09,945.0
2.428999900224032e-09,955.0
4.10600028471731e-09,965.0
4.871000119312347e-09,975.0
8.08999961259448e-09,985.0
1.1749999842819796e-08,995.0
1.597999896247302e-08,1005.0
2.20899985512637e-08,1015.0
2.8869998716848198e-08,1025.0
5.2159999979619916e-08,1035.0
7.409000423204616e-08,1045.0
8.587999664413691e-08,1055.0
1.4979999869323892e-07,1065.0
1.9969999089231463e-07,1075.0
2.898999950524854e-07,1085.0
3.615000150774317e-07,1095.0
4.789000287291326e-07,1105.0
6.298000245666134e-07,1115.0
9.867000980902104e-07,1125.0
1.4500000297179609e-06,1135.0
1.975000148953726e-06,1145.0
2.608999992230352e-06,1155.0
3.4080003491031658e-06,1165.0
4.643999904276253e-06,1175.0
5.93100026604371e-06,1185.0
7.269999770722804e-06,1195.0
8.146000207824847e-06,1205.0
6.367000000474708e-06,1215.0
1.3230000831581085e-05,1225.0
2.1050001161865556e-05,1235.0
2.7629998927177513e-05,1245.0
3.483999901949225e-05,1255.0
4.510000421226801e-05,1265.0
5.633999984089496e-05,1275.0
6.817999939590337e-05,1285.0
8.579000395557269e-05,1295.0
0.0001067000039900564,1305.0
0.0001350999993922751,1315.0
0.0001642999976871867,1325.0
