flux,wave
0.0,90.9
0.0,93.5
0.0,96.1
0.0,97.7
0.0,99.6
0.0,102.0
0.0,103.8
0.0,105.6
0.0,107.7
0.0,110.4
0.0,114.0
0.0,117.8
0.0,121.3
0.0,124.8
0.0,127.1
0.0,128.4
0.0,130.5
0.0,132.4
0.0,133.9
0.0,136.6
0.0,139.8
0.0,143.3
0.0,147.2
0.0,151.0
0.0,155.2
0.0,158.8
0.0,162.0
0.0,166.0
0.0,170.3
0.0,173.4
0.0,176.8
0.0,180.2
0.0,181.7
0.0,186.1
0.0,191.0
0.0,193.9
0.0,198.4
0.0,201.8
0.0,205.0
0.0,210.5
0.0,216.2
0.0,219.8
0.0,223.0
0.0,226.8
0.0,230.0
0.0,234.0
0.0,240.0
0.0,246.5
0.0,252.4
0.0,256.8
0.0,260.0
0.0,264.0
0.0,268.5
0.0,273.5
0.0,278.5
0.0,284.0
0.0,290.0
0.0,296.0
0.0,301.0
0.0,308.0
0.0,318.0
0.0,328.0
0.0,338.0
0.0,348.0
0.0,357.0
0.0,366.0
0.0,375.0
0.0,385.0
0.0,395.0
0.0,405.0
0.0,414.0
0.0,422.0
0.0,430.0
0.0,441.0
0.0,451.0
0.0,460.0
0.0,470.0
1.8599997986275353e-24,480.0
8.378000650954914e-24,490.0
3.5369997147407883e-23,500.0
1.0850001390359183e-22,506.0
2.7480001629468073e-22,512.0
7.870000097721586e-22,520.0
2.8150001122570682e-21,530.0
9.430000749714209e-21,540.0
3.0510000643937314e-20,550.0
9.385999923384464e-20,560.0
2.7679998121647097e-19,570.0
7.758999914289729e-19,580.0
2.1400000409143107e-18,590.0
5.63300015710835e-18,600.0
1.433999966022595e-17,610.0
3.530000027258897e-17,620.0
8.42999982306393e-17,630.0
1.9560000364126774e-16,640.0
4.413000124716201e-16,650.0
8.299000198191208e-16,658.0
1.4219999479486069e-15,665.0
3.007999869045901e-15,675.0
6.217000057014969e-15,685.0
1.2550000722118449e-14,695.0
2.4739999038258477e-14,705.0
5.122000254610667e-14,716.0
9.6999993626324e-14,726.0
1.694999970701788e-13,735.0
3.09900008160151e-13,745.0
5.566999856020181e-13,755.0
9.840000156790924e-13,765.0
1.7100000829935435e-12,775.0
2.9280001235379725e-12,785.0
4.903000119015144e-12,795.0
8.18600003256645e-12,805.0
1.345000010928488e-11,815.0
2.1770000734442692e-11,825.0
3.4789999254384996e-11,835.0
5.490000202041694e-11,845.0
8.565000496664131e-11,855.0
1.3199999313034844e-10,865.0
2.0109999574215594e-10,875.0
3.038000024806621e-10,885.0
4.538000186795359e-10,895.0
6.708000234547389e-10,905.0
7.049000214403218e-07,915.0
2.6370001658064177e-06,925.0
3.7189999471601297e-06,935.0
5.499999934900559e-06,945.0
8.383999987682775e-06,955.0
1.2270000598230478e-05,965.0
1.6929999949689918e-05,975.0
2.3799998583883064e-05,985.0
3.3170001012939694e-05,995.0
4.84000050392621e-05,1005.0
6.613000510699968e-05,1015.0
8.717000477800889e-05,1025.0
0.0001261000101004163,1035.0
0.00017250000860861392,1045.0
0.00022790000361535472,1055.0
0.0003059000044814408,1065.0
0.00041169998807367,1075.0
0.0005497000331432022,1085.0
0.0007081000081484861,1095.0
0.0019409999284712219,1105.0
0.00456900023773677,1115.0
0.0064280000415290195,1125.0
0.009363999863224677,1135.0
0.012080000448130394,1145.0
0.014190000387786209,1155.0
0.018920001071353183,1165.0
0.02377999965845611,1175.0
0.02693000089526228,1185.0
0.02404000147812014,1195.0
0.025520000565774567,1205.0
0.009999999593182506,1215.0
0.033640000595070545,1225.0
0.06061000034952113,1235.0
0.08044999893992928,1245.0
0.09481999723405886,1255.0
0.10560000505838574,1265.0
0.12659999419970464,1275.0
0.14529999965355994,1285.0
0.17630000816974106,1295.0
0.1917000105944833,1305.0
