flux,wave
0.0,90.9
0.0,93.5
0.0,96.1
0.0,97.7
0.0,99.6
0.0,102.0
0.0,103.8
0.0,105.6
0.0,107.7
0.0,110.4
0.0,114.0
0.0,117.8
0.0,121.3
0.0,124.8
0.0,127.1
0.0,128.4
0.0,130.5
0.0,132.4
0.0,133.9
0.0,136.6
0.0,139.8
0.0,143.3
0.0,147.2
0.0,151.0
0.0,155.2
0.0,158.8
0.0,162.0
0.0,166.0
0.0,170.3
0.0,173.4
0.0,176.8
0.0,180.2
0.0,181.7
0.0,186.1
0.0,191.0
0.0,193.9
0.0,198.4
0.0,201.8
0.0,205.0
0.0,210.5
0.0,216.2
0.0,219.8
0.0,223.0
0.0,226.8
0.0,230.0
0.0,234.0
0.0,240.0
0.0,246.5
0.0,252.4
0.0,256.8
0.0,260.0
0.0,264.0
0.0,268.5
0.0,273.5
0.0,278.5
0.0,284.0
0.0,290.0
0.0,296.0
0.0,301.0
0.0,308.0
0.0,318.0
0.0,328.0
0.0,338.0
0.0,348.0
0.0,357.0
0.0,366.0
0.0,375.0
0.0,385.0
0.0,395.0
0.0,405.0
0.0,414.0
0.0,422.0
0.0,430.0
2.440000088517905e-24,441.0
1.2280000018586231e-23,451.0
4.933999879560304e-23,460.0
2.166999896823536e-22,470.0
8.908000063301279e-22,480.0
3.447000428810371e-21,490.0
1.2580000605549887e-20,500.0
3.538999709312688e-20,506.0
8.262999703385972e-20,512.0
2.1259999689505282e-19,520.0
6.68099995718096e-19,530.0
1.9760001189851593e-18,540.0
5.669000142349044e-18,550.0
1.5529999722944873e-17,560.0
4.0960000976409175e-17,570.0
1.030000049492221e-16,580.0
2.5609999771036195e-16,590.0
6.093000217166228e-16,600.0
1.4070000064576384e-15,610.0
3.151000068269668e-15,620.0
6.868000325442204e-15,630.0
1.4580000037962205e-14,640.0
3.020000016095072e-14,650.0
5.312000126053025e-14,658.0
8.592999746795887e-14,665.0
1.6789999688498402e-13,675.0
3.2129999961916623e-13,685.0
6.0189998657722e-13,695.0
1.102000006711963e-12,705.0
2.1120001028065927e-12,716.0
3.733999936310466e-12,726.0
6.143999637191353e-12,735.0
1.0520000463299565e-11,745.0
1.7730000426710722e-11,755.0
2.9469998695510024e-11,765.0
4.8200003272999575e-11,775.0
7.786000566320393e-11,785.0
1.228999992187202e-10,795.0
1.9419999810399294e-10,805.0
3.0239997437309207e-10,815.0
4.6410000862416535e-10,825.0
7.041999618771579e-10,835.0
1.056999990548186e-09,845.0
1.5689999711928347e-09,855.0
2.304999979509562e-09,865.0
3.345000104516533e-09,875.0
4.830000280728795e-09,885.0
6.895000189761939e-09,895.0
9.752000039203446e-09,905.0
1.9520000063594813e-05,915.0
6.705000349668724e-05,925.0
9.626000680695995e-05,935.0
0.00013710000120194577,945.0
0.00020070000768132002,955.0
0.00028149998311301704,965.0
0.00039150004807525783,975.0
0.0005410000327608716,985.0
0.0007419000393388825,995.0
0.0010289999884381745,1005.0
0.001392000149879792,1015.0
0.0017819998787183481,1025.0
0.0025050000763405743,1035.0
0.003329000247350847,1045.0
0.004399000549711421,1055.0
0.005686000045446348,1065.0
0.007552000913754369,1075.0
0.00981699938317721,1085.0
0.012690000641702932,1095.0
0.02841999847936289,1105.0
0.09348000629546087,1115.0
0.14360000889111452,1125.0
0.21489999770797955,1135.0
0.2859000034457159,1145.0
0.32520001113977826,1155.0
0.45739998504524243,1165.0
0.565700012814345,1175.0
0.6155000020655681,1185.0
0.3600999804315584,1195.0
0.3456999757757638,1205.0
0.1599999934909201,1215.0
0.4498999926377053,1225.0
1.0650000223543303,1235.0
2.0899998718088657,1245.0
3.4610000897339765,1255.0
3.5450003485821258,1265.0
4.8899998873371,1275.0
6.291000092683821,1285.0
7.75200007155122,1295.0
7.503000179360904,1305.0
