flux,wave
0.0,90.9
0.0,93.5
0.0,96.1
0.0,97.7
0.0,99.6
0.0,102.0
0.0,103.8
0.0,105.6
0.0,107.7
0.0,110.4
0.0,114.0
0.0,117.8
0.0,121.3
0.0,124.8
0.0,127.1
0.0,128.4
0.0,130.5
0.0,132.4
0.0,133.9
0.0,136.6
0.0,139.8
0.0,143.3
0.0,147.2
0.0,151.0
0.0,155.2
0.0,158.8
0.0,162.0
0.0,166.0
0.0,170.3
0.0,173.4
0.0,176.8
0.0,180.2
0.0,181.7
0.0,186.1
0.0,191.0
0.0,193.9
0.0,198.4
0.0,201.8
0.0,205.0
0.0,210.5
0.0,216.2
0.0,219.8
0.0,223.0
0.0,226.8
0.0,230.0
0.0,234.0
0.0,240.0
0.0,246.5
0.0,252.4
0.0,256.8
0.0,260.0
0.0,264.0
0.0,268.5
0.0,273.5
0.0,278.5
0.0,284.0
0.0,290.0
0.0,296.0
0.0,301.0
0.0,308.0
0.0,318.0
0.0,328.0
0.0,338.0
0.0,348.0
0.0,357.0
0.0,366.0
0.0,375.0
0.0,385.0
0.0,395.0
0.0,405.0
0.0,414.0
0.0,422.0
0.0,430.0
0.0,441.0
8.243000383569095e-25,451.0
3.533000168478023e-24,460.0
1.661999904955139e-23,470.0
7.29699987934531e-23,480.0
3.0080001952705547e-22,490.0
1.1660000555567159e-21,500.0
3.403000047777207e-21,506.0
8.216999886970932e-21,512.0
2.2110001306554692e-20,520.0
7.331000388431687e-20,530.0
2.2840001037999855e-19,540.0
6.888000426739401e-19,550.0
1.981000080443108e-18,560.0
5.472000043772195e-18,570.0
1.4400000202376784e-17,580.0
3.73800024362547e-17,590.0
9.275000220866362e-17,600.0
2.230000217266144e-16,610.0
5.197000002880728e-16,620.0
1.1760000920691685e-15,630.0
2.592000087046498e-15,640.0
5.563000257488807e-15,650.0
1.0060000332673054e-14,658.0
1.667000089488025e-14,665.0
3.3670002649137795e-14,675.0
6.653000098659011e-14,685.0
1.2860000254758818e-13,695.0
2.4270001940466456e-13,705.0
4.804000455824843e-13,716.0
8.739999742277932e-13,726.0
1.4750000445225585e-12,735.0
2.594999896735129e-12,745.0
4.491000169781164e-12,755.0
7.658000492250757e-12,765.0
1.2840000368547935e-11,775.0
2.1260000302272213e-11,785.0
3.4379999023800876e-11,795.0
5.55900023117214e-11,805.0
8.855000167002767e-11,815.0
1.3890000381314136e-10,825.0
2.1540000199958862e-10,835.0
3.300999981002558e-10,845.0
5.003000372701263e-10,855.0
7.499000528671555e-10,865.0
1.1099999896330729e-09,875.0
1.6340000629193226e-09,885.0
2.376999992035487e-09,895.0
3.4240001662562536e-09,905.0
3.9490001347909006e-06,915.0
1.3799999740786766e-05,925.0
2.0080000354175884e-05,935.0
2.905999951151883e-05,945.0
4.330999911499846e-05,955.0
6.174999791360331e-05,965.0
8.691000311436825e-05,975.0
0.00012180000372622884,985.0
0.00016910000647456057,995.0
0.0002386000082413082,1005.0
0.0003270999864038796,1015.0
0.0004382000160105962,1025.0
0.0006049000099512272,1035.0
0.000814499974362595,1045.0
0.0010890000725984213,1055.0
0.001448000054140057,1065.0
0.0019180001031857484,1075.0
0.0025260001383120073,1085.0
0.0032990000920724775,1095.0
0.008840999639741757,1105.0
0.027950000416653416,1115.0
0.042000001807199344,1125.0
0.062170000112521114,1135.0
0.08164999120024503,1145.0
0.09413000732518818,1155.0
0.1287999996520341,1165.0
0.16169999947027594,1175.0
0.1782000057966044,1185.0
0.1278000094652367,1195.0
0.1294000005767463,1205.0
0.048720000428841954,1215.0
0.1678999995998524,1225.0
0.3616000317226029,1235.0
0.5562000425095142,1245.0
0.7285000466497807,1255.0
0.7654000537795108,1265.0
0.9640000143573889,1275.0
1.1619999404025234,1285.0
1.4180000028432638,1295.0
