flux,wave
0.0,90.9
0.0,93.5
0.0,96.1
0.0,97.7
0.0,99.6
0.0,102.0
0.0,103.8
0.0,105.6
0.0,107.7
0.0,110.4
0.0,114.0
0.0,117.8
0.0,121.3
0.0,124.8
0.0,127.1
0.0,128.4
0.0,130.5
0.0,132.4
0.0,133.9
0.0,136.6
0.0,139.8
0.0,143.3
0.0,147.2
0.0,151.0
0.0,155.2
0.0,158.8
0.0,162.0
0.0,166.0
0.0,170.3
0.0,173.4
0.0,176.8
0.0,180.2
0.0,181.7
0.0,186.1
0.0,191.0
0.0,193.9
0.0,198.4
0.0,201.8
0.0,205.0
0.0,210.5
0.0,216.2
0.0,219.8
0.0,223.0
0.0,226.8
0.0,230.0
0.0,234.0
0.0,240.0
0.0,246.5
0.0,252.4
0.0,256.8
0.0,260.0
0.0,264.0
0.0,268.5
0.0,273.5
0.0,278.5
0.0,284.0
0.0,290.0
0.0,296.0
0.0,301.0
0.0,308.0
0.0,318.0
0.0,328.0
0.0,338.0
0.0,348.0
0.0,357.0
0.0,366.0
0.0,375.0
0.0,385.0
0.0,395.0
0.0,405.0
0.0,414.0
0.0,422.0
0.0,430.0
0.0,441.0
0.0,451.0
0.0,460.0
0.0,470.0
0.0,480.0
0.0,490.0
0.0,500.0
0.0,506.0
5.593000091759025e-25,512.0
1.754999890629483e-24,520.0
7.010999856358177e-24,530.0
2.613999956572972e-23,540.0
9.369999975954496e-23,550.0
3.183000165716318e-22,560.0
1.0329999768402142e-21,570.0
3.1759999462185693e-21,580.0
9.576000226778571e-21,590.0
2.747999885202652e-20,600.0
7.599000043738667e-20,610.0
2.0280001737056144e-19,620.0
5.236999938584529e-19,630.0
1.3110000091973568e-18,640.0
3.1820001716303387e-18,650.0
6.3360004741595905e-18,658.0
1.139999986714726e-17,665.0
2.581000043461332e-17,675.0
5.697999804620837e-17,685.0
1.2269999436922796e-16,695.0
2.573999973790369e-16,705.0
5.692999858193997e-16,716.0
1.1430000843198296e-15,726.0
2.10300008504875e-15,735.0
4.064999860631024e-15,745.0
7.710000074076664e-15,755.0
1.4370000001880647e-14,765.0
2.6280001060634262e-14,775.0
4.7320000141377027e-14,785.0
8.329000656100785e-14,795.0
1.458000011988078e-13,805.0
2.508000083958709e-13,815.0
4.246999709786074e-13,825.0
7.09300010329352e-13,835.0
1.1690001024521955e-12,845.0
1.902000140111393e-12,855.0
3.0560000125170755e-12,865.0
4.846000049073293e-12,875.0
7.612999969453299e-12,885.0
1.1819999942785622e-11,895.0
1.8139999397873326e-11,905.0
4.406999778674787e-08,915.0
2.0090000970207002e-07,925.0
2.8540000195235695e-07,935.0
4.359000173067704e-07,945.0
6.692999695313133e-07,955.0
1.0590000727474987e-06,965.0
1.3779999827800683e-06,975.0
2.085000124325759e-06,985.0
2.953000098115617e-06,995.0
4.287000324547559e-06,1005.0
5.875999976931911e-06,1015.0
7.342000526520513e-06,1025.0
1.1959999916703043e-05,1035.0
1.698999922946783e-05,1045.0
2.074000031434957e-05,1055.0
3.031000168718233e-05,1065.0
4.0710002846827715e-05,1075.0
5.5539999949086896e-05,1085.0
6.823999746238012e-05,1095.0
8.881000000739197e-05,1105.0
0.00012160000263294071,1115.0
0.00016749999096225197,1125.0
0.00023570000768799391,1135.0
0.0003111000338121745,1145.0
0.0003958999852633568,1155.0
0.0005118000203261537,1165.0
0.0006720000427647924,1175.0
0.000822599963307048,1185.0
0.0009534999301986112,1195.0
0.0011030000126293685,1205.0
0.0007938999687282103,1215.0
0.0016530000113467948,1225.0
0.0024449998309637585,1235.0
0.0031109999641033897,1245.0
0.0037540000014977737,1255.0
0.00457600014549525,1265.0
0.005575000030485332,1275.0
0.006657999983444351,1285.0
0.008132001006284922,1295.0
0.009583000856506645,1305.0
0.011939999590267595,1315.0
