flux,wave
0.0,90.9
0.0,93.5
0.0,96.1
0.0,97.7
0.0,99.6
0.0,102.0
0.0,103.8
0.0,105.6
0.0,107.7
0.0,110.4
0.0,114.0
0.0,117.8
0.0,121.3
0.0,124.8
0.0,127.1
0.0,128.4
0.0,130.5
0.0,132.4
0.0,133.9
0.0,136.6
0.0,139.8
0.0,143.3
0.0,147.2
0.0,151.0
0.0,155.2
0.0,158.8
0.0,162.0
0.0,166.0
0.0,170.3
0.0,173.4
0.0,176.8
0.0,180.2
0.0,181.7
0.0,186.1
0.0,191.0
0.0,193.9
0.0,198.4
0.0,201.8
0.0,205.0
0.0,210.5
0.0,216.2
0.0,219.8
0.0,223.0
0.0,226.8
0.0,230.0
0.0,234.0
0.0,240.0
0.0,246.5
0.0,252.4
0.0,256.8
0.0,260.0
0.0,264.0
0.0,268.5
0.0,273.5
0.0,278.5
0.0,284.0
0.0,290.0
0.0,296.0
0.0,301.0
0.0,308.0
0.0,318.0
0.0,328.0
0.0,338.0
0.0,348.0
0.0,357.0
0.0,366.0
0.0,375.0
0.0,385.0
0.0,395.0
0.0,405.0
0.0,414.0
0.0,422.0
0.0,430.0
0.0,441.0
0.0,451.0
0.0,460.0
0.0,470.0
0.0,480.0
0.0,490.0
0.0,500.0
0.0,506.0
0.0,512.0
0.0,520.0
0.0,530.0
0.0,540.0
0.0,550.0
1.263000039438949e-24,560.0
4.485000142855138e-24,570.0
1.5040000551968314e-23,580.0
4.931000412115673e-23,590.0
1.5340000456844585e-22,600.0
4.588000006258395e-22,610.0
1.3209999978125514e-21,620.0
3.671000109674678e-21,630.0
9.863000734217297e-21,640.0
2.5660000675378925e-20,650.0
5.389999956467027e-20,658.0
1.0150000637167495e-19,665.0
2.4510001262241134e-19,675.0
5.756000230626417e-19,685.0
1.316000021940144e-18,695.0
2.9280001755669727e-18,705.0
6.892999998958835e-18,716.0
1.4620001808766613e-17,726.0
2.8250002748183846e-17,735.0
5.753000406454822e-17,745.0
1.1480000478959503e-16,755.0
2.248000110263443e-16,765.0
4.317000133779326e-16,775.0
8.14599943480475e-16,785.0
1.5019999409683967e-15,795.0
2.748000102364177e-15,805.0
4.939000081956697e-15,815.0
8.728999605012162e-15,825.0
1.5200000004256697e-14,835.0
2.6090001344857536e-14,845.0
4.415999756674249e-14,855.0
7.37500005820198e-14,865.0
1.2150000896613053e-13,875.0
1.9799999358740548e-13,885.0
3.187000044438988e-13,895.0
5.067000110658699e-13,905.0
2.6189998900741384e-09,915.0
1.1309999847556518e-08,925.0
1.5570000896733098e-08,935.0
2.274999847849732e-08,945.0
3.494000182183999e-08,955.0
5.717000224823044e-08,965.0
7.309000072775917e-08,975.0
1.1310000233465902e-07,985.0
1.6039999959658572e-07,995.0
2.287000061436343e-07,1005.0
3.165999880571665e-07,1015.0
4.072000076390637e-07,1025.0
6.965999958505281e-07,1035.0
9.767000355981693e-07,1045.0
1.184999957814229e-06,1055.0
1.816999978410242e-06,1065.0
2.445000121614107e-06,1075.0
3.4430000891244915e-06,1085.0
4.264999841398757e-06,1095.0
5.554000226873049e-06,1105.0
7.416999707724042e-06,1115.0
1.0689999696105647e-05,1125.0
1.514999950423698e-05,1135.0
2.0139999849912782e-05,1145.0
2.6420000407494186e-05,1155.0
3.4100004217000666e-05,1165.0
4.538999813062986e-05,1175.0
5.701000112355819e-05,1185.0
6.823999962568676e-05,1195.0
7.80199977209091e-05,1205.0
6.114000419436977e-05,1215.0
0.0001246000122076225,1225.0
0.00018489999319424802,1235.0
0.00023930001485419225,1245.0
0.0002941000063340783,1255.0
0.00036880002406922434,1265.0
0.00045960000638436814,1275.0
0.0005542000684304203,1285.0
0.0006900000138837274,1295.0
0.0008440000587814935,1305.0
0.0010550000443638665,1315.0
0.001266999965794523,1325.0
