flux,wave
0.0,90.9
0.0,93.5
0.0,96.1
0.0,97.7
0.0,99.6
0.0,102.0
0.0,103.8
0.0,105.6
0.0,107.7
0.0,110.4
0.0,114.0
0.0,117.8
0.0,121.3
0.0,124.8
0.0,127.1
0.0,128.4
0.0,130.5
0.0,132.4
0.0,133.9
0.0,136.6
0.0,139.8
0.0,143.3
0.0,147.2
0.0,151.0
0.0,155.2
0.0,158.8
0.0,162.0
0.0,166.0
0.0,170.3
0.0,173.4
0.0,176.8
0.0,180.2
0.0,181.7
0.0,186.1
0.0,191.0
0.0,193.9
0.0,198.4
0.0,201.8
0.0,205.0
0.0,210.5
0.0,216.2
0.0,219.8
0.0,223.0
0.0,226.8
0.0,230.0
0.0,234.0
0.0,240.0
0.0,246.5
0.0,252.4
0.0,256.8
0.0,260.0
0.0,264.0
0.0,268.5
0.0,273.5
0.0,278.5
0.0,284.0
0.0,290.0
0.0,296.0
0.0,301.0
0.0,308.0
0.0,318.0
0.0,328.0
0.0,338.0
0.0,348.0
0.0,357.0
0.0,366.0
0.0,375.0
0.0,385.0
0.0,395.0
0.0,405.0
0.0,414.0
0.0,422.0
0.0,430.0
0.0,441.0
0.0,451.0
0.0,460.0
0.0,470.0
0.0,480.0
0.0,490.0
0.0,500.0
0.0,506.0
0.0,512.0
0.0,520.0
0.0,530.0
0.0,540.0
0.0,550.0
0.0,560.0
7.785999813727069e-25,570.0
2.6860001143778052e-24,580.0
9.04899993121788e-24,590.0
2.89000035072371e-23,600.0
8.868999526105726e-23,610.0
2.6180000938251113e-22,620.0
7.449000544121067e-22,630.0
2.0480000013684096e-21,640.0
5.448999981703718e-21,650.0
1.1649999018226382e-20,658.0
2.226999914183381e-20,665.0
5.488999945255025e-20,675.0
1.3160000614094683e-19,685.0
3.0680000317043297e-19,695.0
6.957000217351451e-19,705.0
1.6709999201845786e-18,716.0
3.609999829057906e-18,726.0
7.084000539585462e-18,735.0
1.4680001326434855e-17,745.0
2.9779999428964896e-17,755.0
5.926000494059384e-17,765.0
1.1559999371904386e-16,775.0
2.2149999494978605e-16,785.0
4.1460000740553743e-16,795.0
7.697999568955558e-16,805.0
1.4029999671764362e-15,815.0
2.5150000240599543e-15,825.0
4.439000176161951e-15,835.0
7.721000009558333e-15,845.0
1.324000047339725e-14,855.0
2.238999961299777e-14,865.0
3.734000063724938e-14,875.0
6.162000093096847e-14,885.0
1.0040000852812924e-13,895.0
1.6140001114996784e-13,905.0
9.222999975971338e-10,915.0
3.6879999312261914e-09,925.0
4.962000468048186e-09,935.0
7.405999974869917e-09,945.0
1.1519999888486609e-08,955.0
1.8720000953523837e-08,965.0
2.4520000054271704e-08,975.0
3.760000101123789e-08,985.0
5.326999794855924e-08,995.0
7.757999828933726e-08,1005.0
1.080000017032457e-07,1015.0
1.3939999893403084e-07,1025.0
2.397999810660309e-07,1035.0
3.391999996512431e-07,1045.0
4.1940002043012754e-07,1055.0
6.306000648309094e-07,1065.0
8.59400020681127e-07,1075.0
1.2040000177892176e-06,1085.0
1.5170000255351902e-06,1095.0
1.9920001456008154e-06,1105.0
2.69900035483626e-06,1115.0
3.833000197030049e-06,1125.0
5.44600054483048e-06,1135.0
7.27700014831424e-06,1145.0
9.64600033837617e-06,1155.0
1.2600001236287036e-05,1165.0
1.680999985009076e-05,1175.0
2.1390000882106193e-05,1185.0
2.5929999405888473e-05,1195.0
3.0480000222105638e-05,1205.0
2.6770001806410547e-05,1215.0
5.03799987449059e-05,1225.0
7.269000618897186e-05,1235.0
9.448000065393249e-05,1245.0
0.0001176000021694825,1255.0
0.0001490000051767553,1265.0
0.00018810001060645776,1275.0
0.00023110001861051757,1285.0
0.0002912000164948266,1295.0
0.0003503999937867166,1305.0
0.00045409999851638683,1315.0
0.0005564000256746025,1325.0
